	x
0610005C13Rik	-0.0617498845305801
0610006L08Rik	0
0610009B22Rik	0.387153123061038
0610009E02Rik	0
0610009L18Rik	-0.220978657964932
0610009O20Rik	-0.0816265448642635
0610010F05Rik	-0.0806468351695074
0610010K14Rik	0.303707548244558
0610012D04Rik	0
0610012G03Rik	-0.783344161379471
0610025J13Rik	0
0610030E20Rik	-0.35776819666926
0610031O16Rik	0
0610033M10Rik	0
0610037L13Rik	0.18462250668602
0610038B21Rik	0
0610039K10Rik	0
0610040B10Rik	0.0629721430120203
0610040F04Rik	0
0610040J01Rik	0
0610043K17Rik	-0.0203535668284591
1010001B22Rik	-0.0258344647477722
1010001N08Rik	0
1110002E22Rik	0
1110002J07Rik	0
1110002L01Rik	-0.0727804755565995
1110002O04Rik	-0.0384801735195807
1110003F10Rik	0
1110004E09Rik	-0.0206128299158738
1110004F10Rik	0.0568986076301889
1110006O24Rik	-0.115060217513184
1110008E08Rik	0
1110008F13Rik	0.280386458417119
1110008L16Rik	-0.215046437596845
1110008P14Rik	-0.316257474162794
1110012L19Rik	-0.0647033326226402
1110015O18Rik	0
1110017D15Rik	0
1110018N20Rik	0
1110019D14Rik	-0.0358239448831975
1110020A21Rik	-0.107870522022579
1110025L11Rik	0
1110025M09Rik	-0.0604327126346266
1110028F11Rik	0
1110028F18Rik	-0.0419402699725289
1110032A03Rik	-0.106153548481388
1110032F04Rik	-0.0242763442529155
1110034G24Rik	-0.394430218562409
1110035H17Rik	-0.0422577488526763
1110036E04Rik	0
1110038B12Rik	0
1110038F14Rik	0.204786338822641
1110046J04Rik	0
1110051M20Rik	0.0853409641373885
1110057P08Rik	0
1110059E24Rik	0.35334550478283
1110059G10Rik	0.106540167923722
1110060G06Rik	0
1110065P20Rik	0.052778580009633
1190002N15Rik	0.454547838955038
1190005I06Rik	0.647639511208275
1190007I07Rik	0.102113183132088
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	-0.345480762614025
1300017J02Rik	-0.0170921725605662
1500002C15Rik	-0.0167219821545854
1500002F19Rik	0
1500004A13Rik	-0.0633588182652596
1500005C15Rik	0
1500009C09Rik	0
1500009L16Rik	0
1500011B03Rik	-0.102862678174929
1500011K16Rik	0.296489091097167
1500012K07Rik	0
1500015A07Rik	-0.0688834171346775
1500015L24Rik	0
1500015O10Rik	0
1500026H17Rik	-0.0089896062367747
1500035N22Rik	0
1520401A03Rik	0
1600002D24Rik	0
1600002H07Rik	-0.0303288203243811
1600002K03Rik	-0.0846184286461207
1600010M07Rik	0
1600012H06Rik	-0.223424609034769
1600012P17Rik	0
1600014C10Rik	-0.268729511356877
1600014C23Rik	0
1600015I10Rik	0
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	-0.094580669134573
1600023N17Rik	-0.0513789407787222
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	-0.471063651497213
1700001C02Rik	0
1700001C19Rik	0
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	0
1700001G11Rik	0
1700001G17Rik	0
1700001J03Rik	-0.00887155543567827
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001L05Rik	0
1700001L19Rik	0
1700001N15Rik	0
1700001O22Rik	0.155049659302412
1700001P01Rik	-0.1712550404818
1700003C15Rik	0
1700003D09Rik	0
1700003E16Rik	0
1700003E24Rik	0
1700003F12Rik	0
1700003G13Rik	0
1700003G18Rik	0
1700003H04Rik	0
1700003I16Rik	0
1700003I22Rik	0
1700003L19Rik	-0.0306730880544763
1700003M07Rik	0
1700003N22Rik	-0.0215149423113034
1700003P14Rik	0
1700006A11Rik	0
1700006E09Rik	0
1700006F04Rik	0
1700006H21Rik	0
1700006J14Rik	0
1700006P03Rik	0
1700007E05Rik	0
1700007F19Rik	0
1700007G11Rik	0
1700007J10Rik	0
1700007K09Rik	0
1700007K13Rik	0
1700007L15Rik	-0.0191514808261763
1700007M16Rik	0
1700007P06Rik	0
1700008A23Rik	0
1700008B11Rik	0
1700008H02Rik	0
1700008J07Rik	-0.0710001299031032
1700008K24Rik	0
1700008N11Rik	-0.00739809615798401
1700008O03Rik	0
1700008P02Rik	0
1700009C05Rik	0
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010B13Rik	0
1700010D01Rik	0
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	-0.0311444567417599
1700010J16Rik	0
1700010K23Rik	0
1700010K24Rik	-0.0250365952736859
